         112120 function calls (108921 primitive calls) in 0.346 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
      645    0.003    0.000    0.003    0.000 :0(ord)
        2    0.000    0.000    0.000    0.000 :0(pack)
        8    0.000    0.000    0.000    0.000 :0(pipe)
      246    0.000    0.000    0.000    0.000 :0(pop)
        3    0.000    0.000    0.000    0.000 :0(putenv)
      184    0.002    0.000    0.002    0.000 :0(read)
        1    0.000    0.000    0.000    0.000 :0(recv)
        2    0.000    0.000    0.000    0.000 :0(register)
        3    0.000    0.000    0.000    0.000 :0(register_at_fork)
        3    0.000    0.000    0.000    0.000 :0(release)
     1452    0.001    0.000    0.001    0.000 :0(release_lock)
       16    0.000    0.000    0.000    0.000 :0(remove)
       29    0.000    0.000    0.000    0.000 :0(replace)
       73    0.000    0.000    0.000    0.000 :0(repr)
       12    0.000    0.000    0.000    0.000 :0(rfind)
       12    0.000    0.000    0.000    0.000 :0(round)
     1884    0.003    0.000    0.003    0.000 :0(rpartition)
     5313    0.003    0.000    0.003    0.000 :0(rstrip)
        1    0.000    0.000    0.000    0.000 :0(search)
        1    0.000    0.000    0.000    0.000 :0(seed)
        2    0.000    0.000    0.000    0.000 :0(select)
        1    0.000    0.000    0.000    0.000 :0(send)
        2    0.000    0.000    0.000    0.000 :0(set_string_function)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
     1964    0.002    0.000    0.003    0.000 :0(setattr)
        9    0.000    0.000    0.000    0.000 :0(setdefault)
        9    0.000    0.000    0.000    0.000 :0(seterrobj)
       14    0.000    0.000    0.000    0.000 :0(setter)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
        8    0.000    0.000    0.000    0.000 :0(sort)
        6    0.000    0.000    0.000    0.000 :0(sorted)
       26    0.000    0.000    0.000    0.000 :0(split)
        1    0.000    0.000    0.000    0.000 :0(splitlines)
        1    0.000    0.000    0.000    0.000 :0(sqrt)
     1669    0.001    0.000    0.001    0.000 :0(startswith)
     1022    0.004    0.000    0.004    0.000 :0(stat)
      295    0.000    0.000    0.000    0.000 :0(strip)
       10    0.000    0.000    0.000    0.000 :0(sub)
        1    0.000    0.000    0.000    0.000 :0(time)
        3    0.000    0.000    0.000    0.000 :0(tolist)
      155    0.000    0.000    0.000    0.000 :0(translate)
        2    0.000    0.000    0.000    0.000 :0(uname)
      117    0.000    0.000    0.000    0.000 :0(unicode_iscased)
      108    0.000    0.000    0.000    0.000 :0(unicode_tolower)
        1    0.000    0.000    0.000    0.000 :0(union)
       11    0.000    0.000    0.000    0.000 :0(unpack)
        2    0.000    0.000    0.000    0.000 :0(unsetenv)
      373    0.000    0.000    0.000    0.000 :0(update)
       43    0.000    0.000    0.000    0.000 :0(upper)
        1    0.000    0.000    0.000    0.000 :0(urandom)
        3    0.000    0.000    0.000    0.000 :0(utf_8_decode)
       17    0.000    0.000    0.000    0.000 :0(values)
        7    0.000    0.000    0.000    0.000 :0(vars)
      5/3    0.000    0.000    0.000    0.000 :0(view)
        3    0.000    0.000    0.000    0.000 :0(waitpid)
      316    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   231/35    0.003    0.000    0.256    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      533    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      236    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      535    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
